"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Shell Script", "JavaScript", "JSON with Comments", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/vdemirev/Desktop/Biufet_No9/backend/manage.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/vdemirev/Desktop/Biufet_No9/backend/requirements.txt", "pip requirements", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/vdemirev/Desktop/Biufet_No9/backend/test_api.sh", "Shell Script", 0, 0, 0, 0, 268, 0, 0, 0, 0, 0, 45, 46, 359
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/apps.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/models.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/tasks.py", "Python", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 146
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/urls.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/vdemirev/Desktop/Biufet_No9/backend/updates/views.py", "Python", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 59
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/admin.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/models.py", "Python", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 129
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/serializers.py", "Python", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 16, 25, 135
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/urls.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/vdemirev/Desktop/Biufet_No9/backend/voting/views.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 115
"/Users/vdemirev/Desktop/Biufet_No9/frontend/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"/Users/vdemirev/Desktop/Biufet_No9/frontend/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/vdemirev/Desktop/Biufet_No9/frontend/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"/Users/vdemirev/Desktop/Biufet_No9/frontend/package-lock.json", "JSON", 0, 0, 5579, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5580
"/Users/vdemirev/Desktop/Biufet_No9/frontend/package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/Users/vdemirev/Desktop/Biufet_No9/frontend/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
